seedSize,numMutations,computationTime
267,1,2
187,1,1
3232,1,13
1028,1,4
1839,1,6
664,1,4
16119,1,37
1633,1,4
6911,1,8
761,1,2
1312,2,9
899,2,8
7013,2,10
135,2,2
1215,2,5
1635,2,4
17165,2,326
3576,2,5
17165,2,10
450,2,3
1144,3,1
6166,3,16
7013,3,11
586,3,2
1119,3,7
702,3,3
897,3,4
17176,3,45
3341,3,9
14498,3,46
588,4,23
3006,4,7
1181,4,10
14601,4,55
862,4,3
2020,4,7
419,4,2
1447,4,3
13146,4,144
6086,4,18
2419,5,4
3302,5,17
921,5,3
6078,5,160
934,5,4
874,5,1
6536,5,27
587,5,2
7462,5,30
4393,5,12
529,6,4
266,6,1
570,6,40
9634,6,45
441,6,2
2472,6,7
568,6,2
2588,6,10
583,6,4
2248,6,6
528,7,30
379,7,2
1144,7,4
5498,7,24
921,7,4
195,7,1
5150,7,21
1119,7,4
7287,7,21
7265,7,32
437,8,2
5673,8,162
17165,8,230
570,8,2
187,8,2
9017,8,303
8101,8,50
1635,8,5
408,8,2
5150,8,16
7265,9,51
1602,9,9
375,9,1
2147,9,146
640,9,14
1051,9,6
1144,9,3
483,9,1
490,9,3
614,9,3
9017,10,55
6918,10,59
684,10,3
1593,10,18
3813,10,21
6086,10,31
7287,10,659
1440,10,10
1666,10,51
808,10,3
1568,11,9
6911,11,88
7025,11,40
408,11,2
588,11,3
3576,11,14
1326,11,6
1935,11,119
648,11,4
9706,11,85
5498,12,35
375,12,4
5096,12,32
7363,12,42
419,12,3
1018,12,8
6911,12,173
2297,12,14
4599,12,28
1839,12,9
201,13,2
3121,13,25
135,13,1
1074,13,9
1790,13,9
14601,13,70
17207,13,134
1015,13,5
583,13,4
1665,13,12
1018,14,6
7462,14,54
1326,14,7
1873,14,29
2615,14,10
2248,14,16
2194,14,16
429,14,2
441,14,12
490,14,4
927,15,9
2640,15,15
187,15,3
14498,15,153
886,15,6
1060,15,23
213,15,3
1153,15,10
1633,15,7
267,15,3
450,16,7
7133,16,56
6086,16,152
242,16,1
3576,16,39
528,16,13
246,16,4
187,16,3
5673,16,50
2683,16,16
6416,17,72
210,17,10
5838,17,50
1095,17,12
645,17,4
1181,17,9
600,17,15
9018,17,76
13146,17,121
10457,17,84
5803,18,38
12142,18,122
7133,18,87
4081,18,39
5498,18,74
210,18,1
1246,18,8
974,18,6
757,18,6
1944,18,18
5838,19,55
5673,19,331
2132,19,109
546,19,5
1499,19,15
379,19,7
1633,19,10
3232,19,216
1200,19,9
6357,19,59
390,20,3
1593,20,61
8944,20,85
8742,20,307
614,20,27
13151,20,132
1023,20,7
761,20,7
3341,20,85
1839,20,17
2683,21,22
1144,21,7
498,21,7
767,21,5
1018,21,8
1200,21,48
1951,21,25
7467,21,110
1312,21,12
807,21,8
343,22,6
1796,22,14
1790,22,17
17207,22,239
851,22,8
9017,22,406
230,22,4
5838,22,266
2194,22,78
7265,22,998
3090,23,36
12142,23,194
546,23,14
648,23,26
201,23,2
187,23,2
187,23,3
1590,23,18
886,23,7
1473,23,11
3232,24,38
743,24,10
688,24,19
9017,24,728
600,24,17
446,24,6
1015,24,215
2147,24,24
12127,24,215
4272,24,49
1424,25,36
1590,25,27
1051,25,13
437,25,29
386,25,5
1028,25,13
5000,25,179
5000,25,86
701,25,14
648,25,60
332,26,5
252,26,5
12142,26,267
1312,26,23
12142,26,1988
6918,26,683
684,26,18
187,26,2
1200,26,93
1246,26,55
3006,27,43
10440,27,1035
7462,27,306
4081,27,64
1181,27,172
4599,27,226
210,27,13
383,27,3
1233,27,15
201,27,3
210,28,3
862,28,67
851,28,32
1080,28,8
392,28,15
1237,28,17
5673,28,102
755,28,8
1633,28,22
909,28,19
210,29,12
428,29,6
673,29,8
267,29,3
351,29,3
187,29,2
472,29,8
3622,29,833
6416,29,79
667,29,7
1424,30,18
446,30,6
3622,30,49
3622,30,2130
429,30,5
739,30,22
379,30,4
5150,30,143
14601,30,311
343,30,8
2825,31,46
14498,31,772
667,31,9
2970,31,34
609,31,8
1326,31,16
7265,31,660
293,31,4
425,31,5
927,31,34
428,32,8
688,32,11
1144,32,79
2147,32,104
500,32,8
542,32,19
1602,32,105
1273,32,64
1153,32,16
3622,32,46
1593,33,70
2588,33,432
2825,33,38
6078,33,145
2820,33,35
8101,33,186
187,33,3
2334,33,22
13151,33,1306
1060,33,24
5838,34,250
17956,34,390
9018,34,875
238,34,3
2640,34,163
437,34,7
332,34,4
187,34,3
761,34,16
2970,34,38
2930,35,55
446,35,6
2588,35,44
6280,35,323
429,35,13
187,35,4
609,35,8
773,35,25
6275,35,128
388,35,14
1028,36,16
10457,36,187
392,36,7
392,36,21
2683,36,69
341,36,4
3576,36,63
6280,36,154
1181,36,39
5150,36,201
3576,37,372
9307,37,360
9018,37,510
1312,37,17
378,37,6
673,37,8
267,37,10
1839,37,43
688,37,24
1326,37,17
5000,38,169
213,38,4
1233,38,21
899,38,44
609,38,9
5150,38,496
187,38,3
6429,38,119
9706,38,187
266,38,26
4232,39,98
5096,39,116
1023,39,42
2132,39,38
7265,39,231
432,39,10
500,39,42
1473,39,75
5673,39,105
1790,39,34
6095,40,3102
648,40,185
807,40,12
12142,40,2428
2640,40,63
2685,40,277
364,40,7
1424,40,38
1499,40,25
419,40,9
483,41,7
490,41,6
921,41,17
9256,41,164
238,41,4
5838,41,106
6354,41,89
3697,41,149
7287,41,134
6911,41,367
9256,42,799
346,42,25
652,42,13
1273,42,82
7133,42,187
2588,42,377
1153,42,57
14601,42,503
761,42,51
546,42,11
1622,43,41
1839,43,89
332,43,7
187,43,4
7467,43,532
7467,43,183
2132,43,143
1200,43,61
216,43,4
17956,43,3597
1273,44,116
1796,44,77
3255,44,80
187,44,4
2227,44,143
1246,44,96
380,44,8
1074,44,60
2588,44,85
1153,44,22
9706,45,5060
3255,45,77
230,45,38
210,45,20
1215,45,65
1095,45,19
1233,45,17
6095,45,3200
273,45,59
622,45,15
1015,46,21
588,46,14
583,46,9
570,46,11
1635,46,28
201,46,6
800,46,16
2588,46,345
648,46,47
187,46,4
12142,47,1792
326,47,8
807,47,12
14498,47,100000
1015,47,315
1944,47,100
326,47,7
3576,47,66
546,47,124
1424,47,37
600,48,41
698,48,43
8101,48,827
187,48,7
230,48,8
747,48,30
927,48,28
312,48,8
1237,48,188
498,48,79
8944,49,1376
6911,49,335
10456,49,332
1200,49,191
3813,49,2977
7363,49,709
7815,49,1955
2588,49,56
332,49,38
5150,49,157
1524,50,160
4366,50,518
8944,50,856
9256,50,251
5498,50,336
1233,50,37
2685,50,125
568,50,40
6416,50,612
408,50,27
17409,51,644
343,51,7
4035,51,127
351,51,7
332,51,7
393,51,34
614,51,12
1635,51,41
1162,51,27
312,51,8
392,52,17
934,52,22
6275,52,440
6911,52,555
3576,52,101
8511,52,493
851,52,43
1951,52,86
886,52,18
1944,52,118
588,53,20
375,53,10
252,53,6
934,53,129
7467,53,192
1119,53,125
1095,53,28
974,53,83
528,53,14
1018,53,46
1200,54,207
441,54,11
187,54,6
17953,54,652
