seedSize,numMutations,computationTime
1144,30,23
408,30,42
800,30,12
1447,30,26
5649,30,192
800,30,17
390,30,9
2825,30,39
392,30,18
5150,30,125
6095,30,1871
7467,30,235
7265,30,213
9017,30,653
757,30,318
4272,30,147
1765,30,227
529,30,7
187,30,6
9018,30,621
5673,30,307
425,30,9
1326,30,26
1543,30,30
8045,30,380
667,30,40
698,30,88
5649,30,308
897,30,96
4081,30,136
1293,30,29
5000,30,135
921,30,29
648,30,65
17956,30,669
4955,30,161
12142,30,331
5108,30,354
7025,30,225
1095,30,18
5803,30,363
498,30,48
390,30,8
3256,30,77
2640,30,121
1028,30,24
9017,30,304
3302,30,331
4167,30,162
3255,30,86
529,30,14
989,30,24
1162,30,118
989,30,21
187,30,9
425,30,6
9256,30,250
1228,30,22
293,30,9
2825,30,283
587,30,12
2685,30,90
1312,30,35
8101,30,239
343,30,35
808,30,22
1074,30,169
1633,30,75
230,30,5
6536,30,230
187,30,3
2820,30,51
579,30,13
5096,30,109
743,30,129
10456,30,1212
2472,30,55
2930,30,80
1796,30,30
1233,30,33
9307,30,516
909,30,198
210,30,27
326,30,12
2640,30,71
341,30,42
312,30,8
2227,30,81
8045,30,1159
375,30,9
346,30,56
6166,30,100000
6095,30,138
4599,30,81
12127,30,536
17409,30,461
3121,30,81
739,30,37
1153,30,21
1818,30,268
3121,30,77
1200,30,81
652,30,39
1633,30,30
614,30,8
388,30,7
528,30,35
1119,30,18
419,30,9
648,30,12
187,30,6
1491,30,13
6354,30,117
2640,30,48
542,30,23
3232,30,294
2615,30,88
498,30,18
1238,30,117
4272,30,92
1935,30,32
2944,30,41
2683,30,72
187,30,15
3576,30,77
450,30,13
17409,30,346
10203,30,348
9634,30,529
2681,30,79
698,30,42
3256,30,48
8045,30,198
5108,30,80
1499,30,34
1144,30,14
252,30,3
529,30,9
1238,30,35
3232,30,320
8045,30,217
332,30,9
312,30,6
375,30,6
974,30,20
542,30,38
446,30,18
588,30,12
1080,30,12
2147,30,75
7363,30,252
921,30,11
392,30,9
1633,30,76
1228,30,73
1593,30,112
3092,30,49
6166,30,100000
2588,30,40
8045,30,300
2825,30,664
5803,30,129
201,30,6
408,30,37
648,30,40
767,30,14
7265,30,220
761,30,12
1028,30,26
755,30,17
735,30,10
437,30,8
266,30,4
1312,30,32
5108,30,101
2990,30,61
6918,30,2156
5838,30,493
927,30,57
927,30,12
735,30,26
614,30,19
2685,30,45
1094,30,51
735,30,67
17207,30,545
7013,30,648
1790,30,46
2935,30,69
2930,30,33
874,30,33
3302,30,164
2248,30,49
4599,30,90
648,30,17
7133,30,146
12127,30,391
6354,30,148
3576,30,100
7013,30,280
687,30,17
234,30,5
1424,30,31
17953,30,454
536,30,27
2132,30,468
14601,30,469
739,30,16
285,30,7
12142,30,334
664,30,14
874,30,20
1200,30,21
246,30,5
3232,30,92
2970,30,62
17409,30,522
1312,30,97
586,30,39
701,30,61
1836,30,41
201,30,11
1200,30,62
1633,30,72
570,30,14
739,30,48
425,30,6
408,30,30
3006,30,101
7133,30,185
234,30,21
807,30,17
3006,30,97
767,30,42
7013,30,2353
428,30,21
332,30,12
6078,30,7945
1602,30,143
17207,30,587
6354,30,194
1074,30,99
10457,30,1500
9017,30,381
1326,30,41
3341,30,150
7462,30,864
2685,30,82
897,30,20
8944,30,742
2615,30,83
246,30,27
13146,30,552
7025,30,194
1200,30,179
2297,30,68
800,30,22
2147,30,67
640,30,15
1622,30,46
5096,30,551
364,30,21
7870,30,297
9307,30,541
17953,30,607
4759,30,158
2820,30,75
1246,30,253
921,30,18
2677,30,60
1237,30,84
529,30,21
7363,30,218
12142,30,338
1944,30,58
622,30,18
2685,30,230
1074,30,82
428,30,6
17956,30,704
1951,30,34
3255,30,241
7467,30,191
587,30,39
17207,30,603
3813,30,149
6429,30,160
1326,30,31
4167,30,116
450,30,20
1424,30,45
773,30,24
2419,30,59
600,30,43
351,30,14
2970,30,142
921,30,19
1023,30,102
17207,30,578
2472,30,44
808,30,18
3092,30,139
1790,30,186
392,30,15
7013,30,255
1215,30,27
1181,30,106
4335,30,143
2194,30,166
6086,30,161
9706,30,6380
1237,30,25
1602,30,28
2944,30,56
17207,30,305
2512,30,45
1237,30,23
