id;folder;mutantFile;numMutations;numDel;numAdd;appliedMutations;affectedSeedNodes;addedAxioms;removedAxioms
0;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/geo/mutatedOnt/secondTest.0.owl;1;1;1;[ToSiblingClassMutation(config=DoubleStringAndStatementConfiguration(http://www.semanticweb.org/quy/ontologies/2023/2/untitled-ontology-38#tensile_strength,http://purl.obolibrary.org/obo/BFO_0000145,[628b06fa6b4e280ebca57a1ba8e27b3e, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, http://www.semanticweb.org/quy/ontologies/2023/2/untitled-ontology-38#tensile_strength]))];[628b06fa6b4e280ebca57a1ba8e27b3e,BFO_0000145,tensile_strength];[[628b06fa6b4e280ebca57a1ba8e27b3e, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, http://purl.obolibrary.org/obo/BFO_0000145]];[[628b06fa6b4e280ebca57a1ba8e27b3e, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, http://www.semanticweb.org/quy/ontologies/2023/2/untitled-ontology-38#tensile_strength]]
1;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/geo/mutatedOnt/secondTest.1.owl;1;1;1;[CEUAMutation(config=DoubleStringAndStatementConfiguration(http://purl.obolibrary.org/obo/bfo.owl#UFRGS:GeoCoreOntology_geological_object,http://www.w3.org/2002/07/owl#Thing,[51845d57ad8b5b721129b7bd27043842, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, http://purl.obolibrary.org/obo/bfo.owl#UFRGS:GeoCoreOntology_geological_object]))];[51845d57ad8b5b721129b7bd27043842,Thing,GeoCoreOntology_geological_object];[[51845d57ad8b5b721129b7bd27043842, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, http://www.w3.org/2002/07/owl#Thing]];[[51845d57ad8b5b721129b7bd27043842, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, http://purl.obolibrary.org/obo/bfo.owl#UFRGS:GeoCoreOntology_geological_object]]
2;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/geo/mutatedOnt/secondTest.2.owl;1;1;1;[CEUAMutation(config=DoubleStringAndStatementConfiguration(770fd0b43007140e7cb9e6e29f364aa0,http://www.w3.org/2002/07/owl#Thing,[36ceae2245fe8710e6481bf6f465752b, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, 770fd0b43007140e7cb9e6e29f364aa0]))];[36ceae2245fe8710e6481bf6f465752b,Thing,770fd0b43007140e7cb9e6e29f364aa0];[[36ceae2245fe8710e6481bf6f465752b, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, http://www.w3.org/2002/07/owl#Thing]];[[36ceae2245fe8710e6481bf6f465752b, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, 770fd0b43007140e7cb9e6e29f364aa0]]
3;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/geo/mutatedOnt/secondTest.3.owl;1;1;1;[ACATOMutation(config=DoubleStringAndStatementConfiguration(http://www.w3.org/2002/07/owl#intersectionOf,http://www.w3.org/2002/07/owl#unionOf,[9b6487eca7b8516002366c8397537a54, http://www.w3.org/2002/07/owl#intersectionOf, 8be896b3c3f800f3f03c28518af0d87a]))];[9b6487eca7b8516002366c8397537a54,8be896b3c3f800f3f03c28518af0d87a];[[9b6487eca7b8516002366c8397537a54, http://www.w3.org/2002/07/owl#unionOf, 8be896b3c3f800f3f03c28518af0d87a]];[[9b6487eca7b8516002366c8397537a54, http://www.w3.org/2002/07/owl#intersectionOf, 8be896b3c3f800f3f03c28518af0d87a]]
4;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/geo/mutatedOnt/secondTest.4.owl;1;1;1;[CEUAMutation(config=DoubleStringAndStatementConfiguration(513d336e841f33371b80bb3aaece30da,http://www.w3.org/2002/07/owl#Thing,[9e1dc9ed440591ead4b28c3c87934f7d, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, 513d336e841f33371b80bb3aaece30da]))];[9e1dc9ed440591ead4b28c3c87934f7d,Thing,513d336e841f33371b80bb3aaece30da];[[9e1dc9ed440591ead4b28c3c87934f7d, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, http://www.w3.org/2002/07/owl#Thing]];[[9e1dc9ed440591ead4b28c3c87934f7d, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, 513d336e841f33371b80bb3aaece30da]]
5;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/geo/mutatedOnt/secondTest.5.owl;1;1;1;[CEUAMutation(config=DoubleStringAndStatementConfiguration(efbb660fa9d39d387bf2997784c64bca,http://www.w3.org/2002/07/owl#Thing,[0bfb440a737bc6f4dfcf9ce14ae17085, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, efbb660fa9d39d387bf2997784c64bca]))];[0bfb440a737bc6f4dfcf9ce14ae17085,Thing,efbb660fa9d39d387bf2997784c64bca];[[0bfb440a737bc6f4dfcf9ce14ae17085, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, http://www.w3.org/2002/07/owl#Thing]];[[0bfb440a737bc6f4dfcf9ce14ae17085, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, efbb660fa9d39d387bf2997784c64bca]]
6;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/geo/mutatedOnt/secondTest.6.owl;1;1;1;[ChangeDataPropertyMutation(random)];[mandal_formation_temperature,datavalue];[[http://purl.obolibrary.org/obo/bfo.owl#mandal_formation_temperature, http://www.semanticweb.org/quy/ontologies/2023/2/untitled-ontology-38#datavalue, "9.889"^^http://www.w3.org/2001/XMLSchema#double]];[[http://purl.obolibrary.org/obo/bfo.owl#mandal_formation_temperature, http://www.semanticweb.org/quy/ontologies/2023/2/untitled-ontology-38#datavalue, "100.0"^^http://www.w3.org/2001/XMLSchema#double]]
7;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/geo/mutatedOnt/secondTest.7.owl;1;1;1;[CEUAMutation(config=DoubleStringAndStatementConfiguration(61912427536d37329f85ff9235dc593f,http://www.w3.org/2002/07/owl#Thing,[17c2f64869eeb632111b82bc02dba092, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, 61912427536d37329f85ff9235dc593f]))];[17c2f64869eeb632111b82bc02dba092,Thing,61912427536d37329f85ff9235dc593f];[[17c2f64869eeb632111b82bc02dba092, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, http://www.w3.org/2002/07/owl#Thing]];[[17c2f64869eeb632111b82bc02dba092, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, 61912427536d37329f85ff9235dc593f]]
8;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/geo/mutatedOnt/secondTest.8.owl;1;1;1;[ToSiblingClassMutation(config=DoubleStringAndStatementConfiguration(http://www.semanticweb.org/quy/ontologies/2023/2/untitled-ontology-38#amount_of_organic_matter,http://purl.obolibrary.org/obo/bfo.owl#UFRGS:GeoCoreOntology_mineral,[c9890e3e6914a2543fbc8857600425b4, http://www.w3.org/2002/07/owl#someValuesFrom, http://www.semanticweb.org/quy/ontologies/2023/2/untitled-ontology-38#amount_of_organic_matter]))];[c9890e3e6914a2543fbc8857600425b4,GeoCoreOntology_mineral,amount_of_organic_matter];[[c9890e3e6914a2543fbc8857600425b4, http://www.w3.org/2002/07/owl#someValuesFrom, http://purl.obolibrary.org/obo/bfo.owl#UFRGS:GeoCoreOntology_mineral]];[[c9890e3e6914a2543fbc8857600425b4, http://www.w3.org/2002/07/owl#someValuesFrom, http://www.semanticweb.org/quy/ontologies/2023/2/untitled-ontology-38#amount_of_organic_matter]]
9;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/geo/mutatedOnt/secondTest.9.owl;1;1;1;[ToSiblingClassMutation(config=DoubleStringAndStatementConfiguration(http://purl.obolibrary.org/obo/bfo.owl#UFRGS:GeoCoreOntology_rock,http://purl.obolibrary.org/obo/bfo.owl#UFRGS:GeoCoreOntology_unconsolidated_earth_material,[3bf4c636f6b1816161387dca03c04684, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, http://purl.obolibrary.org/obo/bfo.owl#UFRGS:GeoCoreOntology_rock]))];[3bf4c636f6b1816161387dca03c04684,GeoCoreOntology_unconsolidated_earth_material,GeoCoreOntology_rock];[[3bf4c636f6b1816161387dca03c04684, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, http://purl.obolibrary.org/obo/bfo.owl#UFRGS:GeoCoreOntology_unconsolidated_earth_material]];[[3bf4c636f6b1816161387dca03c04684, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, http://purl.obolibrary.org/obo/bfo.owl#UFRGS:GeoCoreOntology_rock]]
