count,feature,OWL contruct,
1,rdf:PlainLiteral ,Datatype,
2,rdf:XMLLiteral ,Datatype,
3,rdfs:Literal ,Datatype,
4,owl:real ,Datatype,
5,owl:rational ,Datatype,
6,xsd:decimal ,Datatype,
7,xsd:integer ,Datatype,
8,xsd:nonNegativeInteger ,Datatype,
9,xsd:string ,Datatype,
10,xsd:normalizedString ,Datatype,
11,xsd:token ,Datatype,
12,xsd:Name ,Datatype,
13,xsd:NCName ,Datatype,
14,xsd:NMTOKEN ,Datatype,
15,xsd:hexBinary ,Datatype,
16,xsd:base64Binary ,Datatype,
17,xsd:anyURI ,Datatype,
18,xsd:dateTime ,Datatype,
19,xsd:dateTimeStamp ,Datatype,
20,rdf:type,,
21,owl:Class,,
22,owl:intersectionOf,ObjectIntersectionOf,
23,owl:oneOf,ObjectOneOf,
24,owl:Restriction,,
25,owl:onProperty,ObjectSomeValuesFrom,
26,owl:someValuesFrom,,
27,owl:hasValue,ObjectHasValue,
28,xsd:boolean,ObjectHasSelf,
29,owl:hasValue,DataHasValue,
30,rdfs:subClassOf,SubClassOf,
31,owl:equivalentClass,,
32,owl:disjointWith,DisjointClasses,
33,owl:AllDisjointClasses,DisjointClasses,not covered
34,owl:members,DisjointClasses,not covered
35,rdfs:subPropertyOf,,
36,owl:propertyChainAxiom,,
37,rdfs:domain,,
38,rdfs:range,,
39,owl:ReflexiveProperty,,
40,owl:TransitiveProperty,,
41,rdf:first,,
42,rdf:rest,,
43,rdf:nil,,
44,owl:hasKey,HasKey,
45,owl:sameAs,SameIndividual,
46,owl:differentFrom,DifferentIndividuals,
47,owl:AllDifferent,DifferentIndividuals,not covered
48,owl:NegativePropertyAssertion,NegativeObjectPropertyAssertion,
49,owl:sourceIndividual,NegativeObjectPropertyAssertion,
50,owl:assertionProperty,NegativeObjectPropertyAssertion,
51,owl:targetIndividual,NegativeObjectPropertyAssertion,
52,owl:targetValue,NegativeDataPropertyAssertion,
53,rdfs:dDatatype,Declraration,
54,owl:ObjectProperty,Declraration,
55,owl:DatatypeProperty,Declraration,
56,owl:AnnotationProperty,Declraration,not covered
57,owl:namedIndividual,Declraration,
58,owl:Ontology,,
59,owl:imports,,
60,owl:Annotation,Annotation,not covered
61,owl:annotatedSource,Annotation,not covered
62,owl:annotatedProperty,Annotation,not covered
63,owl:annotatedTarge,Annotation,not covered
64,owl:Thing,,
65,owl:Nothing,,
66,,,
67,,,
68,,,
69,,,
70,,,
