numMutations,avg,std,avg10,std10,avg100,std100
0,9.54,4.097365006928232,21.73,3.0817365234555676,30.41,1.1322102278287367
1,9.81,4.180179421986573,29.12,3.7849174363518165,43.9,1.5394804318340651
2,10.59,4.312992000920011,26.31,3.1422762450172943,46.62,3.227320870319528
3,10.94,4.385932056017283,25.93,2.4708500561547644,38.29,1.6510299815569671
4,11.41,4.418359424039651,26.97,2.5824600674550604,41.99,2.422787650620664
5,11.91,4.827204159759561,29.61,3.7918201434139784,42.78,1.7296242366479482
6,12.31,4.616697954165943,29.44,3.2444414003029856,44.0,1.783255450012701
7,12.79,4.570109407880734,29.42,3.0860330523181383,41.95,2.4387496796514405
8,13.55,4.446065676527958,31.54,2.5589841734563348,46.0,1.9798989873223332
9,13.61,4.851587369098902,31.82,3.6861361884770356,46.03,2.347147204586879
10,13.51,5.141001847889183,31.3,3.1890437438203962,47.07,2.2726856359822403
20,17.82,4.7484313199202965,37.93,3.666756059516368,55.84,2.265921446122967
30,20.5,6.261788881781308,42.75,4.446065676527957,59.03,1.8463748265181696
40,23.17,5.097165879192084,44.56,3.9454277334656624,60.23,1.2716524682475159
50,25.29,5.9519660617311985,47.41,3.927072701135033,60.19,0.730684610485262
75,29.86,5.071528369239397,51.96,2.9083328557783763,60.34,0.6514598989960925
100,32.69,4.746988519050789,54.45,2.4510201957552287,60.39,0.7056202944927242
