numMutations,avg,std,avg10,std10,avg100,std100
0,9.268,3.6507774514478375,21.222,2.824308056852159,29.644,1.5275025368227693
1,10.022,3.807035066820374,28.894,3.39569786641862,46.792,2.6699692882128803
2,10.718,4.0701936071887355,29.104,3.7139176081329515,50.3,2.8667054260945584
3,10.878,3.922641456977684,27.716,3.5314790102731726,46.002,3.0341384279561145
4,11.556,4.36702003659246,28.284,3.606569561231279,44.958,4.078754221573053
5,11.948,4.361799628593685,28.65,3.3537292675468007,42.762,2.594100229366622
6,12.35,4.1607090741843535,29.108,2.8705985438580583,43.584,2.9810977843740774
7,12.592,4.475436961906622,30.374,3.1569168503462346,43.938,3.0407492497738096
8,12.918,4.77820845087361,31.498,3.349924775274814,44.854,2.434888909170192
9,13.742,4.684382136418847,32.086,3.242623012315799,46.892,3.0457077995106507
10,13.682,4.789245869654221,32.576,3.6905587652820255,47.802,2.75804205914268
15,16.234,4.877216829299266,35.416,3.6258714814510484,51.328,3.093285631816115
20,17.492,5.186707626230728,36.618,3.376399857836746,53.78,2.797784838045984
30,20.58,5.373974320742519,41.168,3.883268726215069,59.08,1.5380507143784308
40,23.464,5.409316407828264,44.326,3.9718665637203885,59.502,0.943395993207518
50,25.268,5.473223547417023,46.406,3.774276619433189,60.022,0.9173418119763173
75,29.724,5.215728520542456,51.378,3.2222842829272476,59.814,0.9671628611562798
100,33.026,5.533292329165337,54.38,2.37394186954946,59.908,0.8529572087742733
