id,numMutations,sampleSize,numFeatures
0,0,1,9
1,0,1,8
2,0,1,4
3,0,1,9
4,0,1,8
5,0,1,10
6,0,1,5
7,0,1,9
8,0,1,5
9,0,1,14
10,0,1,4
11,0,1,15
12,0,1,9
13,0,1,10
14,0,1,4
15,0,1,14
16,0,1,12
17,0,1,4
18,0,1,9
19,0,1,10
20,0,1,16
21,0,1,14
22,0,1,8
23,0,1,17
24,0,1,10
25,0,1,11
26,0,1,15
27,0,1,9
28,0,1,9
29,0,1,8
30,0,1,9
31,0,1,15
32,0,1,14
33,0,1,8
34,0,1,5
35,0,1,8
36,0,1,9
37,0,1,4
38,0,1,12
39,0,1,12
40,0,1,4
41,0,1,16
42,0,1,9
43,0,1,9
44,0,1,4
45,0,1,8
46,0,1,9
47,0,1,8
48,0,1,16
49,0,1,14
50,0,1,8
51,0,1,15
52,0,1,8
53,0,1,4
54,0,1,14
55,0,1,8
56,0,1,8
57,0,1,15
58,0,1,9
59,0,1,9
60,0,1,8
61,0,1,8
62,0,1,8
63,0,1,19
64,0,1,9
65,0,1,8
66,0,1,7
67,0,1,7
68,0,1,7
69,0,1,19
70,0,1,9
71,0,1,8
72,0,1,8
73,0,1,7
74,0,1,11
75,0,1,4
76,0,1,9
77,0,1,11
78,0,1,5
79,0,1,16
80,0,1,9
81,0,1,4
82,0,1,11
83,0,1,8
84,0,1,4
85,0,1,11
86,0,1,8
87,0,1,9
88,0,1,9
89,0,1,4
90,0,1,8
91,0,1,8
92,0,1,8
93,0,1,13
94,0,1,4
95,0,1,4
96,0,1,16
97,0,1,10
98,0,1,8
99,0,1,8
100,0,1,6
101,0,1,12
102,0,1,15
103,0,1,15
104,0,1,6
105,0,1,10
106,0,1,9
107,0,1,12
108,0,1,9
109,0,1,15
110,0,1,12
111,0,1,15
112,0,1,9
113,0,1,17
114,0,1,10
115,0,1,8
116,0,1,5
117,0,1,5
118,0,1,13
119,0,1,12
120,0,1,9
121,0,1,9
122,0,1,15
123,0,1,5
124,0,1,8
125,0,1,4
126,0,1,17
127,0,1,8
128,0,1,11
129,0,1,8
130,0,1,9
131,0,1,9
132,0,1,9
133,0,1,9
134,0,1,8
135,0,1,18
136,0,1,9
137,0,1,17
138,0,1,14
139,0,1,6
140,0,1,8
141,0,1,9
142,0,1,14
143,0,1,9
144,0,1,8
145,0,1,5
146,0,1,13
147,0,1,8
148,0,1,4
149,0,1,12
150,0,1,9
151,0,1,4
152,0,1,9
153,0,1,9
154,0,1,4
155,0,1,16
156,0,1,7
157,0,1,8
158,0,1,8
159,0,1,10
160,0,1,9
161,0,1,17
162,0,1,8
163,0,1,7
164,0,1,9
165,0,1,5
166,0,1,11
167,0,1,7
168,0,1,4
169,0,1,8
170,0,1,11
171,0,1,18
172,0,1,15
173,0,1,14
174,0,1,9
175,0,1,9
176,0,1,8
177,0,1,8
178,0,1,8
179,0,1,8
180,0,1,5
181,0,1,12
182,0,1,11
183,0,1,11
184,0,1,9
185,0,1,6
186,0,1,9
187,0,1,14
188,0,1,16
189,0,1,4
190,0,1,9
191,0,1,8
192,0,1,4
193,0,1,16
194,0,1,8
195,0,1,9
196,0,1,4
197,0,1,8
198,0,1,8
199,0,1,10
200,0,1,8
201,0,1,4
202,0,1,15
203,0,1,4
204,0,1,16
205,0,1,10
206,0,1,9
207,0,1,5
208,0,1,17
209,0,1,7
210,0,1,15
211,0,1,7
212,0,1,8
213,0,1,4
214,0,1,8
215,0,1,5
216,0,1,10
217,0,1,8
218,0,1,11
219,0,1,13
