numMutations,avg,std,avg10,std10,avg100,std100
0,9.0,0.0,9.0,0.0,9.0,0.0
1,4.0,0.0,4.0,0.0,4.0,0.0
2,15.0,0.0,15.0,0.0,15.0,0.0
3,8.0,0.0,8.0,0.0,8.0,0.0
4,14.0,0.0,14.0,0.0,14.0,0.0
5,9.0,0.0,9.0,0.0,9.0,0.0
6,8.0,0.0,8.0,0.0,8.0,0.0
7,4.0,0.0,4.0,0.0,4.0,0.0
8,8.0,0.0,8.0,0.0,8.0,0.0
9,18.0,0.0,18.0,0.0,18.0,0.0
10,5.0,0.0,5.0,0.0,5.0,0.0
15,19.0,0.0,19.0,0.0,19.0,0.0
20,8.0,0.0,8.0,0.0,8.0,0.0
30,15.0,0.0,15.0,0.0,15.0,0.0
40,9.0,0.0,9.0,0.0,9.0,0.0
50,10.0,0.0,10.0,0.0,10.0,0.0
75,8.0,0.0,8.0,0.0,8.0,0.0
100,3.0,0.0,3.0,0.0,3.0,0.0
