id,numMutations,sampleSize,numFeatures
0,0,1,8
1,0,1,9
2,0,1,10
3,0,1,9
4,0,1,8
5,0,1,8
6,0,1,10
7,0,1,4
8,0,1,9
9,0,1,4
10,0,1,8
11,0,1,10
12,0,1,9
13,0,1,8
14,0,1,8
15,0,1,5
16,0,1,6
17,0,1,10
18,0,1,6
19,0,1,6
20,0,1,8
21,0,1,11
22,0,1,9
23,0,1,16
24,0,1,7
25,0,1,4
26,0,1,14
27,0,1,4
28,0,1,12
29,0,1,8
30,0,1,5
31,0,1,9
32,0,1,12
33,0,1,16
34,0,1,8
35,0,1,10
36,0,1,8
37,0,1,12
38,0,1,4
39,0,1,8
40,0,1,17
41,0,1,5
42,0,1,12
43,0,1,12
44,0,1,8
45,0,1,8
46,0,1,16
47,0,1,8
48,0,1,11
49,0,1,17
50,0,1,4
51,0,1,8
52,0,1,9
53,0,1,11
54,0,1,8
55,0,1,17
56,0,1,14
57,0,1,9
58,0,1,4
59,0,1,5
60,0,1,12
61,0,1,16
62,0,1,12
63,0,1,8
64,0,1,9
65,0,1,9
66,0,1,8
67,0,1,8
68,0,1,9
69,0,1,12
70,0,1,4
71,0,1,4
72,0,1,19
73,0,1,7
74,0,1,9
75,0,1,4
76,0,1,15
77,0,1,9
78,0,1,8
79,0,1,9
80,0,1,9
81,0,1,12
82,0,1,4
83,0,1,4
84,0,1,5
85,0,1,14
86,0,1,8
87,0,1,9
88,0,1,13
89,0,1,11
90,0,1,13
91,0,1,10
92,0,1,4
93,0,1,4
94,0,1,13
95,0,1,16
96,0,1,9
97,0,1,12
98,0,1,7
99,0,1,4
100,0,1,4
101,0,1,15
102,0,1,9
103,0,1,9
104,0,1,7
105,0,1,8
106,0,1,10
107,0,1,15
108,0,1,9
109,0,1,8
110,0,1,16
111,0,1,12
112,0,1,8
113,0,1,11
114,0,1,5
115,0,1,9
116,0,1,8
117,0,1,8
118,0,1,4
119,0,1,8
120,0,1,9
121,0,1,8
122,0,1,9
123,0,1,9
124,0,1,8
125,0,1,9
126,0,1,8
127,0,1,8
128,0,1,8
129,0,1,9
130,0,1,8
131,0,1,7
132,0,1,10
133,0,1,4
134,0,1,12
135,0,1,4
136,0,1,4
137,0,1,7
138,0,1,11
139,0,1,9
140,0,1,9
141,0,1,13
142,0,1,17
143,0,1,13
144,0,1,18
145,0,1,7
146,0,1,11
147,0,1,17
148,0,1,12
149,0,1,9
150,0,1,7
151,0,1,9
152,0,1,8
153,0,1,4
154,0,1,13
155,0,1,12
156,0,1,11
157,0,1,17
158,0,1,8
159,0,1,10
160,0,1,9
161,0,1,9
162,0,1,9
163,0,1,11
164,0,1,9
165,0,1,9
166,0,1,17
167,0,1,8
168,0,1,10
169,0,1,8
170,0,1,11
171,0,1,12
172,0,1,8
173,0,1,15
174,0,1,5
175,0,1,8
176,0,1,19
177,0,1,9
178,0,1,4
179,0,1,7
180,0,1,9
181,0,1,5
182,0,1,5
183,0,1,15
184,0,1,8
185,0,1,8
186,0,1,12
187,0,1,4
188,0,1,4
189,0,1,7
190,0,1,16
191,0,1,8
192,0,1,6
193,0,1,4
194,0,1,5
195,0,1,8
196,0,1,4
197,0,1,9
198,0,1,4
199,0,1,9
200,0,1,9
201,0,1,10
202,0,1,4
203,0,1,4
204,0,1,6
205,0,1,15
206,0,1,14
207,0,1,8
208,0,1,8
209,0,1,16
210,0,1,12
211,0,1,15
212,0,1,10
213,0,1,17
214,0,1,15
215,0,1,18
216,0,1,17
217,0,1,9
218,0,1,4
219,0,1,4
220,0,1,8
221,0,1,12
222,0,1,7
223,0,1,13
224,0,1,9
225,0,1,4
226,0,1,9
227,0,1,9
228,0,1,10
229,0,1,8
230,0,1,8
231,0,1,15
232,0,1,12
233,0,1,8
234,0,1,16
235,0,1,4
236,0,1,17
237,0,1,8
238,0,1,9
239,0,1,6
240,0,1,11
241,0,1,9
242,0,1,7
243,0,1,4
244,0,1,4
245,0,1,12
246,0,1,8
247,0,1,10
248,0,1,8
249,0,1,11
250,0,1,4
251,0,1,9
252,0,1,9
253,0,1,4
254,0,1,10
255,0,1,11
256,0,1,12
257,0,1,4
258,0,1,12
259,0,1,4
260,0,1,9
261,0,1,8
262,0,1,9
263,0,1,9
264,0,1,14
265,0,1,4
266,0,1,9
267,0,1,9
268,0,1,4
269,0,1,12
270,0,1,9
271,0,1,11
272,0,1,7
273,0,1,8
274,0,1,9
275,0,1,4
276,0,1,9
277,0,1,9
278,0,1,8
279,0,1,11
280,0,1,9
281,0,1,6
282,0,1,15
283,0,1,9
284,0,1,9
285,0,1,9
286,0,1,8
287,0,1,8
288,0,1,6
289,0,1,15
290,0,1,8
291,0,1,15
292,0,1,8
293,0,1,13
294,0,1,15
295,0,1,4
296,0,1,9
297,0,1,8
298,0,1,5
299,0,1,4
300,0,1,5
301,0,1,8
302,0,1,9
303,0,1,9
304,0,1,12
305,0,1,8
306,0,1,19
307,0,1,11
308,0,1,6
309,0,1,9
310,0,1,8
311,0,1,13
312,0,1,4
313,0,1,8
314,0,1,7
315,0,1,7
316,0,1,15
317,0,1,12
318,0,1,9
319,0,1,9
320,0,1,4
321,0,1,15
322,0,1,8
323,0,1,9
324,0,1,12
325,0,1,12
326,0,1,9
327,0,1,18
328,0,1,4
329,0,1,8
330,0,1,8
331,0,1,7
332,0,1,9
333,0,1,5
334,0,1,15
335,0,1,12
336,0,1,8
337,0,1,11
338,0,1,12
339,0,1,9
340,0,1,9
341,0,1,4
342,0,1,8
343,0,1,11
344,0,1,12
345,0,1,12
346,0,1,14
347,0,1,13
348,0,1,10
349,0,1,13
350,0,1,13
351,0,1,8
352,0,1,11
353,0,1,9
354,0,1,6
355,0,1,9
356,0,1,12
357,0,1,18
358,0,1,6
359,0,1,4
360,0,1,8
361,0,1,13
362,0,1,6
363,0,1,9
364,0,1,13
365,0,1,9
366,0,1,8
367,0,1,14
368,0,1,6
369,0,1,8
370,0,1,16
371,0,1,18
372,0,1,11
373,0,1,8
374,0,1,10
375,0,1,9
376,0,1,12
377,0,1,8
378,0,1,4
379,0,1,12
380,0,1,8
381,0,1,9
382,0,1,9
383,0,1,7
384,0,1,16
385,0,1,14
386,0,1,5
387,0,1,16
388,0,1,8
389,0,1,9
390,0,1,17
391,0,1,14
392,0,1,9
393,0,1,9
394,0,1,4
395,0,1,9
396,0,1,13
397,0,1,5
398,0,1,8
399,0,1,4
400,0,1,5
401,0,1,4
402,0,1,14
403,0,1,5
404,0,1,17
405,0,1,14
406,0,1,9
407,0,1,9
408,0,1,6
409,0,1,15
410,0,1,10
411,0,1,15
412,0,1,9
413,0,1,9
414,0,1,4
415,0,1,11
416,0,1,9
417,0,1,9
418,0,1,8
419,0,1,10
420,0,1,9
421,0,1,9
422,0,1,9
423,0,1,6
424,0,1,9
425,0,1,11
426,0,1,9
427,0,1,4
428,0,1,16
429,0,1,18
430,0,1,8
431,0,1,8
432,0,1,11
433,0,1,4
434,0,1,4
435,0,1,7
436,0,1,10
437,0,1,10
438,0,1,4
439,0,1,9
440,0,1,10
441,0,1,8
442,0,1,8
443,0,1,8
444,0,1,4
445,0,1,11
446,0,1,13
447,0,1,11
448,0,1,8
449,0,1,9
450,0,1,8
451,0,1,9
452,0,1,5
453,0,1,16
454,0,1,4
455,0,1,4
456,0,1,4
457,0,1,4
458,0,1,5
459,0,1,4
460,0,1,9
461,0,1,15
462,0,1,8
463,0,1,16
464,0,1,6
465,0,1,9
466,0,1,15
467,0,1,8
468,0,1,15
469,0,1,9
470,0,1,8
471,0,1,14
472,0,1,15
473,0,1,4
474,0,1,6
475,0,1,8
476,0,1,12
477,0,1,15
478,0,1,12
479,0,1,12
480,0,1,9
481,0,1,14
482,0,1,9
483,0,1,9
484,0,1,9
485,0,1,12
486,0,1,9
487,0,1,16
488,0,1,9
489,0,1,9
490,0,1,8
491,0,1,17
492,0,1,10
493,0,1,11
494,0,1,5
495,0,1,8
496,0,1,4
497,0,1,9
498,0,1,9
499,0,1,12
500,0,10,22
501,0,10,23
502,0,10,25
503,0,10,20
504,0,10,24
505,0,10,21
506,0,10,20
507,0,10,23
508,0,10,25
509,0,10,22
510,0,10,21
511,0,10,23
512,0,10,23
513,0,10,22
514,0,10,21
515,0,10,17
516,0,10,21
517,0,10,21
518,0,10,19
519,0,10,19
520,0,10,22
521,0,10,23
522,0,10,16
523,0,10,23
524,0,10,21
525,0,10,20
526,0,10,19
527,0,10,24
528,0,10,24
529,0,10,22
530,0,10,15
531,0,10,18
532,0,10,20
533,0,10,23
534,0,10,21
535,0,10,14
536,0,10,19
537,0,10,24
538,0,10,19
539,0,10,22
540,0,10,21
541,0,10,23
542,0,10,22
543,0,10,24
544,0,10,25
545,0,10,18
546,0,10,19
547,0,10,28
548,0,10,19
549,0,10,23
550,0,10,18
551,0,10,26
552,0,10,25
553,0,10,21
554,0,10,15
555,0,10,21
556,0,10,22
557,0,10,22
558,0,10,24
559,0,10,23
560,0,10,24
561,0,10,18
562,0,10,18
563,0,10,24
564,0,10,20
565,0,10,20
566,0,10,21
567,0,10,13
568,0,10,22
569,0,10,21
570,0,10,21
571,0,10,23
572,0,10,25
573,0,10,22
574,0,10,22
575,0,10,23
576,0,10,24
577,0,10,22
578,0,10,20
579,0,10,21
580,0,10,15
581,0,10,21
582,0,10,24
583,0,10,18
584,0,10,20
585,0,10,21
586,0,10,22
587,0,10,20
588,0,10,23
589,0,10,20
590,0,10,23
591,0,10,17
592,0,10,21
593,0,10,24
594,0,10,22
595,0,10,20
596,0,10,19
597,0,10,25
598,0,10,20
599,0,10,19
600,0,10,22
601,0,10,23
602,0,10,20
603,0,10,23
604,0,10,22
605,0,10,20
606,0,10,22
607,0,10,22
608,0,10,21
609,0,10,25
610,0,10,21
611,0,10,23
612,0,10,21
613,0,10,24
614,0,10,20
615,0,10,21
616,0,10,22
617,0,10,21
618,0,10,23
619,0,10,19
620,0,10,20
621,0,10,19
622,0,10,22
623,0,10,25
624,0,10,20
625,0,10,26
626,0,10,22
627,0,10,22
628,0,10,24
629,0,10,19
630,0,10,22
631,0,10,18
632,0,10,17
633,0,10,19
634,0,10,22
635,0,10,24
636,0,10,24
637,0,10,23
638,0,10,20
639,0,10,24
640,0,10,19
641,0,10,19
