numMutations,avg,std,avg10,std10,avg100,std100
0,9.214,3.4842795525043697,20.882,2.6818046162985136,29.184,1.5881259395904352
1,9.61,3.435389352024011,22.054,2.8169281140987597,30.008,1.3386321376688937
2,10.136,3.4953546315073605,22.74,2.501279672487656,30.004,1.2033220682759873
3,10.488,3.51764921502983,22.952,2.454729312979345,30.012,1.250542282371926
4,10.83,3.466568908878057,23.266,2.410652193909357,30.352,1.1983722293177523
5,11.438,3.4954478969082063,23.926,2.461813152942358,30.364,1.2245423634974801
6,11.922,3.428106766131996,24.036,2.2241187018682234,30.178,1.1341587190512643
7,12.122,3.557402985325111,24.586,2.1481629360921395,30.39,1.109008566242841
8,12.372,3.540284734311631,24.498,1.8477001921307457,29.726,1.157118835729502
9,12.456,3.3829076251059544,24.304,2.1278120217725993,29.994,1.424768051298176
10,12.802,3.3572006195638644,25.116,1.9043487075638224,30.942,1.2753964089646816
15,14.176,3.3065123619911057,25.332,1.6869427968962099,30.026,1.2795796184685027
20,15.314,3.096999192767088,25.764,1.587546534751027,30.31,1.3978197308666043
30,16.906,2.9067445708214517,25.972,1.4068461180953662,30.118,1.1593429173458523
40,17.702,2.8434479070311776,25.84,1.2499599993599808,29.754,1.0106849162820213
50,18.826,2.6682810946375177,26.1,1.357203006185883,29.882,0.9757438188377102
75,20.258,2.237730099900341,26.128,1.3429877140167736,30.05,1.0637198879404304
100,21.196,1.9093412476558524,26.138,1.2926546329163076,30.71,1.205777757300241
