id,numMutations,sampleSize,numFeatures
0,0,1,8
1,0,1,15
2,0,1,8
3,0,1,15
4,0,1,9
5,0,1,12
6,0,1,4
7,0,1,8
8,0,1,4
9,0,1,10
10,0,1,8
11,0,1,7
12,0,1,5
13,0,1,11
14,0,1,9
15,0,1,10
16,0,1,8
17,0,1,12
18,0,1,9
19,0,1,7
20,0,1,5
21,0,1,8
22,0,1,6
23,0,1,9
24,0,1,12
25,0,1,9
26,0,1,15
27,0,1,12
28,0,1,9
29,0,1,18
30,0,1,13
31,0,1,15
32,0,1,4
33,0,1,4
34,0,1,11
35,0,1,9
36,0,1,4
37,0,1,5
38,0,1,7
39,0,1,17
40,0,1,5
41,0,1,14
42,0,1,16
43,0,1,11
44,0,1,14
45,0,1,13
46,0,1,9
47,0,1,11
48,0,1,9
49,0,1,9
50,0,1,10
51,0,1,9
52,0,1,9
53,0,1,10
54,0,1,12
55,0,1,8
56,0,1,8
57,0,1,8
58,0,1,8
59,0,1,11
60,0,1,8
61,0,1,9
62,0,1,5
63,0,1,9
64,0,1,8
65,0,1,12
66,0,1,18
67,0,1,15
68,0,1,5
69,0,1,7
70,0,1,12
71,0,1,7
72,0,1,11
73,0,1,15
74,0,1,8
75,0,1,7
76,0,1,9
77,0,1,11
78,0,1,9
79,0,1,6
80,0,1,9
81,0,1,13
82,0,1,8
83,0,1,12
84,0,1,8
85,0,1,18
86,0,1,5
87,0,1,4
88,0,1,12
89,0,1,5
90,0,1,8
91,0,1,10
92,0,1,8
93,0,1,7
94,0,1,8
95,0,1,9
96,0,1,4
97,0,1,10
98,0,1,8
99,0,1,8
100,0,1,8
101,0,1,8
102,0,1,14
103,0,1,9
104,0,1,12
105,0,1,9
106,0,1,12
107,0,1,4
108,0,1,8
109,0,1,8
110,0,1,4
111,0,1,8
112,0,1,7
113,0,1,9
114,0,1,12
115,0,1,9
116,0,1,9
117,0,1,4
118,0,1,4
119,0,1,7
120,0,1,8
121,0,1,17
122,0,1,4
123,0,1,13
124,0,1,4
125,0,1,18
126,0,1,8
127,0,1,8
128,0,1,4
129,0,1,9
130,0,1,8
131,0,1,13
132,0,1,9
133,0,1,10
134,0,1,4
135,0,1,4
136,0,1,12
137,0,1,4
138,0,1,6
139,0,1,9
140,0,1,12
141,0,1,8
142,0,1,8
143,0,1,6
144,0,1,14
145,0,1,10
146,0,1,10
147,0,1,13
148,0,1,4
149,0,1,10
150,0,1,4
151,0,1,9
152,0,1,9
153,0,1,6
154,0,1,8
155,0,1,11
156,0,1,8
157,0,1,8
158,0,1,12
159,0,1,4
160,0,1,9
161,0,1,8
162,0,1,14
163,0,1,8
164,0,1,14
165,0,1,10
166,0,1,6
167,0,1,8
168,0,1,9
169,0,1,8
170,0,1,12
171,0,1,8
172,0,1,8
173,0,1,8
174,0,1,18
175,0,1,8
176,0,1,8
177,0,1,9
178,0,1,13
179,0,1,12
180,0,1,4
181,0,1,9
182,0,1,7
183,0,1,9
184,0,1,9
185,0,1,8
186,0,1,12
187,0,1,6
188,0,1,8
189,0,1,10
190,0,1,8
191,0,1,4
192,0,1,9
193,0,1,9
194,0,1,9
195,0,1,9
196,0,1,9
197,0,1,8
198,0,1,9
199,0,1,8
200,0,1,13
201,0,1,4
202,0,1,8
203,0,1,10
204,0,1,8
205,0,1,4
206,0,1,4
207,0,1,9
208,0,1,11
209,0,1,17
210,0,1,11
211,0,1,17
212,0,1,8
213,0,1,4
214,0,1,8
215,0,1,8
216,0,1,19
217,0,1,9
218,0,1,8
219,0,1,4
220,0,1,7
221,0,1,4
222,0,1,9
223,0,1,8
224,0,1,9
225,0,1,15
226,0,1,12
227,0,1,8
228,0,1,8
229,0,1,14
230,0,1,9
231,0,1,4
232,0,1,8
233,0,1,10
234,0,1,9
235,0,1,9
236,0,1,4
237,0,1,8
238,0,1,8
239,0,1,4
240,0,1,4
241,0,1,4
242,0,1,19
243,0,1,8
244,0,1,12
245,0,1,11
246,0,1,13
247,0,1,4
248,0,1,9
249,0,1,11
250,0,1,4
251,0,1,11
252,0,1,5
253,0,1,9
254,0,1,7
255,0,1,8
256,0,1,8
257,0,1,9
258,0,1,9
259,0,1,8
260,0,1,7
261,0,1,8
262,0,1,5
263,0,1,4
264,0,1,8
265,0,1,14
266,0,1,10
267,0,1,9
268,0,1,12
269,0,1,9
270,0,1,9
271,0,1,9
272,0,1,9
273,0,1,9
274,0,1,9
275,0,1,12
276,0,1,8
277,0,1,4
278,0,1,9
279,0,1,11
280,0,1,4
281,0,1,8
282,0,1,8
283,0,1,10
284,0,1,8
285,0,1,10
286,0,1,10
287,0,1,9
288,0,1,10
289,0,1,8
290,0,1,11
291,0,1,9
292,0,1,17
293,0,1,9
294,0,1,8
295,0,1,9
296,0,1,14
297,0,1,7
298,0,1,14
299,0,1,12
300,0,1,8
301,0,1,9
302,0,1,8
303,0,1,8
304,0,1,13
305,0,1,8
306,0,1,9
307,0,1,4
308,0,1,7
309,0,1,8
310,0,1,14
311,0,1,8
312,0,1,9
313,0,1,4
314,0,1,8
315,0,1,8
316,0,1,9
317,0,1,9
318,0,1,4
319,0,1,14
320,0,1,4
321,0,1,12
322,0,1,16
323,0,1,13
324,0,1,18
325,0,1,5
326,0,1,4
327,0,1,5
328,0,1,8
329,0,1,15
330,0,1,10
331,0,1,8
332,0,1,8
333,0,1,5
334,0,1,12
335,0,1,5
336,0,1,15
337,0,1,7
338,0,1,15
339,0,1,4
340,0,1,4
341,0,1,4
342,0,1,4
343,0,1,11
344,0,1,16
345,0,1,8
346,0,1,9
347,0,1,14
348,0,1,7
349,0,1,4
350,0,1,4
351,0,1,11
352,0,1,5
353,0,1,12
354,0,1,7
355,0,1,12
356,0,1,8
357,0,1,9
358,0,1,8
359,0,1,9
360,0,1,8
361,0,1,8
362,0,1,15
363,0,1,9
364,0,1,18
365,0,1,8
366,0,1,14
367,0,1,11
368,0,1,4
369,0,1,9
370,0,1,13
371,0,1,8
372,0,1,6
373,0,1,9
374,0,1,9
375,0,1,12
376,0,1,8
377,0,1,5
378,0,1,12
379,0,1,4
380,0,1,7
381,0,1,9
382,0,1,13
383,0,1,4
384,0,1,7
385,0,1,13
386,0,1,14
387,0,1,8
388,0,1,4
389,0,1,11
390,0,1,7
391,0,1,6
392,0,1,12
393,0,1,10
394,0,1,9
395,0,1,10
396,0,1,8
397,0,1,8
398,0,1,9
399,0,1,8
400,0,1,13
401,0,1,8
402,0,1,14
403,0,1,8
404,0,1,8
405,0,1,7
406,0,1,17
407,0,1,10
408,0,1,9
409,0,1,12
410,0,1,9
411,0,1,4
412,0,1,12
413,0,1,8
414,0,1,10
415,0,1,10
416,0,1,8
417,0,1,7
418,0,1,7
419,0,1,12
420,0,1,4
421,0,1,9
422,0,1,7
423,0,1,8
424,0,1,12
425,0,1,12
426,0,1,18
427,0,1,8
428,0,1,4
429,0,1,9
430,0,1,11
431,0,1,9
432,0,1,8
433,0,1,10
434,0,1,11
435,0,1,14
436,0,1,10
437,0,1,8
438,0,1,13
439,0,1,12
440,0,1,8
441,0,1,8
442,0,1,9
443,0,1,8
444,0,1,4
445,0,1,9
446,0,1,12
447,0,1,9
448,0,1,18
449,0,1,10
450,0,1,7
451,0,1,10
452,0,1,9
453,0,1,8
454,0,1,9
455,0,1,9
456,0,1,11
457,0,1,9
458,0,1,11
459,0,1,10
460,0,1,8
461,0,1,9
462,0,1,9
463,0,1,11
464,0,1,9
465,0,1,5
466,0,1,8
467,0,1,8
468,0,1,12
469,0,1,7
470,0,1,13
471,0,1,10
472,0,1,9
473,0,1,9
474,0,1,4
475,0,1,8
476,0,1,10
477,0,1,9
478,0,1,8
479,0,1,11
480,0,1,11
481,0,1,8
482,0,1,9
483,0,1,4
484,0,1,12
485,0,1,16
486,0,1,9
487,0,1,16
488,0,1,16
489,0,1,14
490,0,1,8
491,0,1,15
492,0,1,9
493,0,1,4
494,0,1,8
495,0,1,8
496,0,1,9
497,0,1,12
498,0,1,12
499,0,1,8
500,0,10,25
501,0,10,21
502,0,10,19
503,0,10,16
504,0,10,18
505,0,10,21
506,0,10,20
507,0,10,14
508,0,10,21
509,0,10,19
510,0,10,22
511,0,10,28
512,0,10,20
513,0,10,25
514,0,10,21
515,0,10,22
516,0,10,24
517,0,10,22
518,0,10,22
519,0,10,18
520,0,10,21
521,0,10,23
522,0,10,27
523,0,10,22
524,0,10,23
525,0,10,25
