numMutations,avg,std,avg10,std10,avg100,std100
0,88.0,0.0,88.0,0.0,88.0,0.0
1,87.91,0.28618176042508375,88.0,0.0,88.0,0.0
2,87.88,0.32496153618543866,88.0,0.0,88.0,0.0
3,87.89,0.3128897569432407,88.0,0.0,88.0,0.0
4,87.88,0.3249615361854389,88.0,0.0,88.0,0.0
5,87.96,0.19595917942265448,88.0,0.0,88.0,0.0
6,87.87,0.33630343441600485,88.0,0.0,88.0,0.0
7,87.89,0.3128897569432405,88.0,0.0,88.0,0.0
8,87.91,0.28618176042508375,88.0,0.0,88.0,0.0
9,87.9,0.2999999999999999,88.0,0.0,88.0,0.0
10,87.92,0.2712931993250105,88.0,0.0,88.0,0.0
15,87.9,0.29999999999999977,88.0,0.0,88.0,0.0
20,87.9,0.2999999999999998,88.0,0.0,88.0,0.0
30,87.78,0.46,88.0,0.0,88.0,0.0
40,87.77,0.44395945760846167,88.0,0.0,88.0,0.0
50,87.72,0.5114684741017772,88.0,0.0,88.0,0.0
75,87.45,0.6538348415311013,88.0,0.0,88.0,0.0
100,87.38,0.7180529228406501,88.0,0.0,88.0,0.0
