numMutations,avg,std,avg10,std10,avg100,std100
0,88.0,0.0,88.0,0.0,88.0,0.0
1,87.95,0.2179449471770333,88.0,0.0,88.0,0.0
2,87.87,0.3648287269390942,88.0,0.0,88.0,0.0
3,87.74,0.43863424398922596,88.0,0.0,88.0,0.0
4,87.55,0.6062177826491071,88.0,0.0,88.0,0.0
5,87.61,0.661740130262627,88.0,0.0,88.0,0.0
6,87.46,0.6696267617113285,88.0,0.0,88.0,0.0
7,87.35,0.6982120021884466,88.0,0.0,88.0,0.0
8,87.32,0.7858753081755401,88.0,0.0,88.0,0.0
9,87.36,0.7939773296511671,88.0,0.0,88.0,0.0
10,87.07,0.886058688801142,88.0,0.0,88.0,0.0
15,86.49,1.0723339032223136,88.0,0.0,88.0,0.0
20,86.14,1.2330450113438673,88.0,0.0,88.0,0.0
30,84.99,1.7578111388883615,88.0,0.0,88.0,0.0
40,83.75,2.4428467000612217,88.0,0.0,88.0,0.0
50,81.24,3.6086562596068914,88.0,0.0,88.0,0.0
75,76.07,4.432279323327897,87.77,0.5806031346797909,88.0,0.0
100,71.52,3.004929283693713,83.06,2.6937705915686294,88.0,0.0
