id;folder;mutantFile;numMutations;numDel;numAdd;appliedMutations;affectedSeedNodes;addedAxioms;removedAxioms
0;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave06.0.suave.owl;2;1;3;[suave.ChangeSolvesFunctionMutation(random), class domainSpecific.suave.AddNewThrusterMutation(random)];[requiredBy,fd_all_thrusters,fd_recover_thrusters,solvesF,f_follow_pipeline,Component,f_maintain_motion];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#fd_recover_thrusters, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_follow_pipeline],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component]];[[http://www.metacontrol.org/suave#fd_recover_thrusters, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_maintain_motion]]
1;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave06.1.suave.owl;2;1;3;[class domainSpecific.suave.AddNewThrusterMutation(random), suave.ChangeHasValueMutation(random)];[requiredBy,fd_all_thrusters,qa_water_visibility_high,hasValue,Component];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#hasValue, "0.601"^^http://www.w3.org/2001/XMLSchema#decimal],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component]];[[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#hasValue, "3.25"^^http://www.w3.org/2001/XMLSchema#decimal]]
2;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave06.2.suave.owl;2;2;2;[suave.ChangeHasValueMutation(random), suave.ChangeSolvesFunctionMutation(random)];[fd_spiral_low,solvesF,f_maintain_motion,qa_water_visibility_medium,hasValue,f_generate_search_path];[[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_maintain_motion],[http://www.metacontrol.org/suave#qa_water_visibility_medium, http://metacontrol.org/tomasys#hasValue, "-0.842"^^http://www.w3.org/2001/XMLSchema#decimal]];[[http://www.metacontrol.org/suave#qa_water_visibility_medium, http://metacontrol.org/tomasys#hasValue, "2.25"^^http://www.w3.org/2001/XMLSchema#decimal],[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_generate_search_path]]
3;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave06.3.suave.owl;2;2;2;[suave.ChangeQAComparisonOperatorMutation(random), suave.ChangeHasValueMutation(random)];[qa_water_visibility_low,hasValue,water_visibility,qa_comparison_operator];[[http://www.metacontrol.org/suave#qa_water_visibility_low, http://metacontrol.org/tomasys#hasValue, "-1.304"^^http://www.w3.org/2001/XMLSchema#decimal],[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, ">"]];[[http://www.metacontrol.org/suave#qa_water_visibility_low, http://metacontrol.org/tomasys#hasValue, "1.25"^^http://www.w3.org/2001/XMLSchema#decimal],[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, "<"]]
4;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave06.4.suave.owl;2;1;2;[suave.RemoveQAEstimationMutation(random), class domainSpecific.suave.AddNewThrusterMutation(random)];[requiredBy,fd_all_thrusters,Component,fd_spiral_medium,hasQAestimation,qa_water_visibility_medium];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component]];[[http://www.metacontrol.org/suave#fd_spiral_medium, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_water_visibility_medium]]
5;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave06.5.suave.owl;2;1;3;[class domainSpecific.suave.AddNewThrusterMutation(random), suave.ChangeQualityAttributTypeMutation(random)];[requiredBy,fd_all_thrusters,Component,qa_water_visibility_high,isQAtype,performance,water_visibility];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component],[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#performance]];[[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#isQAtype, http://www.metacontrol.org/suave#water_visibility]]
6;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave06.6.suave.owl;2;1;3;[suave.ChangeSolvesFunctionMutation(random), class domainSpecific.suave.AddNewThrusterMutation(random)];[requiredBy,fd_all_thrusters,fd_spiral_low,solvesF,f_maintain_motion,Component,f_generate_search_path];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_maintain_motion],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component]];[[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_generate_search_path]]
7;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave06.7.suave.owl;2;1;3;[class domainSpecific.suave.AddNewThrusterMutation(random), suave.ChangeQAComparisonOperatorMutation(random)];[requiredBy,fd_all_thrusters,Component,water_visibility,qa_comparison_operator];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component],[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, ">="]];[[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, "<"]]
8;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave06.8.suave.owl;2;2;1;[suave.ChangeQualityAttributTypeMutation(random), suave.RemoveQAEstimationMutation(random)];[qa_water_visibility_high,isQAtype,performance,water_visibility,fd_spiral_low,hasQAestimation,qa_search_efficiency_low];[[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#performance]];[[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#isQAtype, http://www.metacontrol.org/suave#water_visibility],[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_search_efficiency_low]]
9;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave06.9.suave.owl;2;2;1;[suave.ChangeQAComparisonOperatorMutation(random), suave.RemoveQAEstimationMutation(random)];[water_visibility,qa_comparison_operator,fd_spiral_medium,hasQAestimation,qa_search_efficiency_medium];[[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, ">="]];[[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, "<"],[http://www.metacontrol.org/suave#fd_spiral_medium, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_search_efficiency_medium]]
