id;folder;mutantFile;numMutations;numDel;numAdd;appliedMutations;affectedSeedNodes;addedAxioms;removedAxioms
0;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric01.0.suave.owl;1;5;0;[RemoveNodeMutation(random)];[qa_water_visibility_high,QAvalue,hasValue,isQAtype,water_visibility,fd_spiral_high,hasQAestimation,NamedIndividual];[];[[http://www.metacontrol.org/suave#qa_water_visibility_high, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#QAvalue],[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#hasValue, "3.25"^^http://www.w3.org/2001/XMLSchema#decimal],[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#isQAtype, http://www.metacontrol.org/suave#water_visibility],[http://www.metacontrol.org/suave#fd_spiral_high, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_water_visibility_high],[http://www.metacontrol.org/suave#qa_water_visibility_high, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://www.w3.org/2002/07/owl#NamedIndividual]]
1;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric01.1.suave.owl;1;0;1;[AddInstanceMutation(random)];[Role];[[inner:asd37058067, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Role]];[]
2;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric01.2.suave.owl;1;0;1;[AddRelationMutation(random)];[hasNFR,Objective];[[http://metacontrol.org/tomasys#hasNFR, http://www.w3.org/2000/01/rdf-schema#range, http://metacontrol.org/tomasys#Objective]];[]
3;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric01.3.suave.owl;1;1;0;[RemoveAxiomMutation(random)];[qa_search_efficiency_medium,QAvalue];[];[[http://www.metacontrol.org/suave#qa_search_efficiency_medium, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#QAvalue]]
4;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric01.4.suave.owl;1;1;1;[ChangeRelationMutation(random)];[solvesO,QAvalue,FunctionGrounding];[[http://metacontrol.org/tomasys#solvesO, http://www.w3.org/2000/01/rdf-schema#domain, http://metacontrol.org/tomasys#QAvalue]];[[http://metacontrol.org/tomasys#solvesO, http://www.w3.org/2000/01/rdf-schema#domain, http://metacontrol.org/tomasys#FunctionGrounding]]
5;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric01.5.suave.owl;2;3;1;[RemoveNodeMutation(random), AddRelationMutation(random)];[Binding,Function,c_thruster_1,requiredBy,fd_all_thrusters,Component,NamedIndividual];[[http://metacontrol.org/tomasys#Binding, http://www.w3.org/2000/01/rdf-schema#subClassOf, http://metacontrol.org/tomasys#Function]];[[http://www.metacontrol.org/suave#c_thruster_1, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_1, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component],[http://www.metacontrol.org/suave#c_thruster_1, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://www.w3.org/2002/07/owl#NamedIndividual]]
6;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric01.6.suave.owl;2;1;1;[RemoveAxiomMutation(random), AddInstanceMutation(random)];[ComponentSpecification,qa_search_efficiency_high,QAvalue];[[inner:asd205056238, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#ComponentSpecification]];[[http://www.metacontrol.org/suave#qa_search_efficiency_high, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#QAvalue]]
7;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric01.7.suave.owl;2;0;2;[AddRelationMutation(random), AddInstanceMutation(random)];[Function,fd_spiral_medium,hasQAestimation,qa_water_visibility_high];[[inner:asd1449275909, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Function],[http://www.metacontrol.org/suave#fd_spiral_medium, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_water_visibility_high]];[]
8;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric01.8.suave.owl;2;6;0;[RemoveAxiomMutation(random), RemoveNodeMutation(random)];[qa_motion_efficiency_normal,isQAtype,performance,fd_follow_pipeline,hasQAestimation,qa_inspect_efficiency_high,NamedIndividual,QAvalue,hasValue];[];[[http://www.metacontrol.org/suave#qa_motion_efficiency_normal, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#performance],[http://www.metacontrol.org/suave#fd_follow_pipeline, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_inspect_efficiency_high],[http://www.metacontrol.org/suave#qa_inspect_efficiency_high, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#performance],[http://www.metacontrol.org/suave#qa_inspect_efficiency_high, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://www.w3.org/2002/07/owl#NamedIndividual],[http://www.metacontrol.org/suave#qa_inspect_efficiency_high, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#QAvalue],[http://www.metacontrol.org/suave#qa_inspect_efficiency_high, http://metacontrol.org/tomasys#hasValue, "1.0"^^http://www.w3.org/2001/XMLSchema#decimal]]
9;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric01.9.suave.owl;2;1;1;[RemoveAxiomMutation(random), AddInstanceMutation(random)];[QAvalue,fd_spiral_high,hasQAestimation,qa_water_visibility_high];[[inner:asd2003094987, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#QAvalue]];[[http://www.metacontrol.org/suave#fd_spiral_high, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_water_visibility_high]]
