
do not consider this: the intenden mutations did not happen...
id;folder;mutantFile;numMutations;numDel;numAdd;appliedMutations;affectedSeedNodes;addedAxioms;removedAxioms
0;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave01.0.suave.owl;1;1;1;[suave.ChangeHasValueMutation(random)];[qa_inspect_efficiency_high,hasValue];[[http://www.metacontrol.org/suave#qa_inspect_efficiency_high, http://metacontrol.org/tomasys#hasValue, "-0.639"^^http://www.w3.org/2001/XMLSchema#decimal]];[[http://www.metacontrol.org/suave#qa_inspect_efficiency_high, http://metacontrol.org/tomasys#hasValue, "1.0"^^http://www.w3.org/2001/XMLSchema#decimal]]
1;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave01.1.suave.owl;1;1;1;[suave.ChangeSolvesFunctionMutation(random)];[fd_spiral_high,solvesF,f_maintain_motion,f_generate_search_path];[[http://www.metacontrol.org/suave#fd_spiral_high, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_maintain_motion]];[[http://www.metacontrol.org/suave#fd_spiral_high, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_generate_search_path]]
2;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave01.2.suave.owl;1;1;1;[suave.ChangeQualityAttributTypeMutation(random)];[qa_motion_efficiency_normal,isQAtype,safety,performance];[[http://www.metacontrol.org/suave#qa_motion_efficiency_normal, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#safety]];[[http://www.metacontrol.org/suave#qa_motion_efficiency_normal, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#performance]]
3;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave01.3.suave.owl;1;1;1;[suave.ChangeHasValueMutation(random)];[qa_search_efficiency_low,hasValue];[[http://www.metacontrol.org/suave#qa_search_efficiency_low, http://metacontrol.org/tomasys#hasValue, "-0.907"^^http://www.w3.org/2001/XMLSchema#decimal]];[[http://www.metacontrol.org/suave#qa_search_efficiency_low, http://metacontrol.org/tomasys#hasValue, "0.25"^^http://www.w3.org/2001/XMLSchema#decimal]]
4;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave01.4.suave.owl;1;1;1;[suave.ChangeHasValueMutation(random)];[qa_motion_efficiency_degraded,hasValue];[[http://www.metacontrol.org/suave#qa_motion_efficiency_degraded, http://metacontrol.org/tomasys#hasValue, "-0.832"^^http://www.w3.org/2001/XMLSchema#decimal]];[[http://www.metacontrol.org/suave#qa_motion_efficiency_degraded, http://metacontrol.org/tomasys#hasValue, "0.75"^^http://www.w3.org/2001/XMLSchema#decimal]]
5;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave01.5.suave.owl;1;1;1;[suave.ChangeQualityAttributTypeMutation(random)];[qa_search_efficiency_medium,isQAtype,water_visibility,performance];[[http://www.metacontrol.org/suave#qa_search_efficiency_medium, http://metacontrol.org/tomasys#isQAtype, http://www.metacontrol.org/suave#water_visibility]];[[http://www.metacontrol.org/suave#qa_search_efficiency_medium, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#performance]]
6;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave01.6.suave.owl;1;1;1;[suave.ChangeQAComparisonOperatorMutation(random)];[water_visibility,safety];[[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, http://ros/mros#safety]];[[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, "<"]]
7;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave01.7.suave.owl;1;0;2;[class domainSpecific.suave.AddNewThrusterMutation(random)];[requiredBy,fd_all_thrusters,Component];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component]];[]
8;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave01.8.suave.owl;1;1;1;[suave.ChangeHasValueMutation(random)];[qa_water_visibility_medium,hasValue];[[http://www.metacontrol.org/suave#qa_water_visibility_medium, http://metacontrol.org/tomasys#hasValue, "-3.17"^^http://www.w3.org/2001/XMLSchema#decimal]];[[http://www.metacontrol.org/suave#qa_water_visibility_medium, http://metacontrol.org/tomasys#hasValue, "2.25"^^http://www.w3.org/2001/XMLSchema#decimal]]
9;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave01.9.suave.owl;1;1;1;[suave.ChangeQAComparisonOperatorMutation(random)];[water_visibility,5a465408-b3cf-4013-bdaf-d3fa8dded99d];[[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, 5a465408-b3cf-4013-bdaf-d3fa8dded99d]];[[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, "<"]]
