id;folder;mutantFile;numMutations;numDel;numAdd;appliedMutations;affectedSeedNodes;addedAxioms;removedAxioms
0;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.0.suave.owl;2;1;3;[suave.ChangeSolvesFunctionMutation(random), class domainSpecific.suave.AddNewThrusterMutation(random)];[requiredBy,fd_all_thrusters,fd_recover_thrusters,solvesF,f_follow_pipeline,Component,f_maintain_motion];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#fd_recover_thrusters, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_follow_pipeline],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component]];[[http://www.metacontrol.org/suave#fd_recover_thrusters, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_maintain_motion]]
1;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.1.suave.owl;2;1;2;[suave.RemoveQAEstimationMutation(random), class domainSpecific.suave.AddNewThrusterMutation(random)];[requiredBy,fd_all_thrusters,Component,fd_spiral_medium,hasQAestimation,qa_water_visibility_medium];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component]];[[http://www.metacontrol.org/suave#fd_spiral_medium, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_water_visibility_medium]]
2;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.2.suave.owl;2;1;3;[class domainSpecific.suave.AddNewThrusterMutation(random), suave.ChangeQualityAttributTypeMutation(random)];[requiredBy,fd_all_thrusters,Component,qa_water_visibility_high,isQAtype,performance,water_visibility];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component],[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#performance]];[[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#isQAtype, http://www.metacontrol.org/suave#water_visibility]]
3;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.3.suave.owl;2;1;3;[suave.ChangeSolvesFunctionMutation(random), class domainSpecific.suave.AddNewThrusterMutation(random)];[requiredBy,fd_all_thrusters,fd_spiral_low,solvesF,f_maintain_motion,Component,f_generate_search_path];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_maintain_motion],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component]];[[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_generate_search_path]]
4;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.4.suave.owl;2;1;3;[class domainSpecific.suave.AddNewThrusterMutation(random), suave.ChangeQAComparisonOperatorMutation(random)];[requiredBy,fd_all_thrusters,Component,water_visibility,qa_comparison_operator];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component],[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, ">="]];[[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, "<"]]
5;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.5.suave.owl;2;2;1;[suave.ChangeQualityAttributTypeMutation(random), suave.RemoveQAEstimationMutation(random)];[qa_water_visibility_high,isQAtype,performance,water_visibility,fd_spiral_high,hasQAestimation];[[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#performance]];[[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#isQAtype, http://www.metacontrol.org/suave#water_visibility],[http://www.metacontrol.org/suave#fd_spiral_high, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_water_visibility_high]]
6;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.6.suave.owl;2;2;1;[suave.ChangeQAComparisonOperatorMutation(random), suave.RemoveQAEstimationMutation(random)];[water_visibility,qa_comparison_operator,fd_spiral_low,hasQAestimation,qa_search_efficiency_low];[[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, ">="]];[[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, "<"],[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_search_efficiency_low]]
7;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.7.suave.owl;2;2;1;[suave.RemoveQAEstimationMutation(random), suave.ChangeQualityAttributTypeMutation(random)];[qa_motion_efficiency_normal,isQAtype,water_visibility,performance,fd_spiral_low,hasQAestimation,qa_water_visibility_low];[[http://www.metacontrol.org/suave#qa_motion_efficiency_normal, http://metacontrol.org/tomasys#isQAtype, http://www.metacontrol.org/suave#water_visibility]];[[http://www.metacontrol.org/suave#qa_motion_efficiency_normal, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#performance],[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_water_visibility_low]]
8;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.8.suave.owl;2;1;3;[class domainSpecific.suave.AddNewThrusterMutation(random), suave.ChangeQualityAttributTypeMutation(random)];[requiredBy,fd_all_thrusters,Component,qa_water_visibility_low,isQAtype,energy,water_visibility];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component],[http://www.metacontrol.org/suave#qa_water_visibility_low, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#energy]];[[http://www.metacontrol.org/suave#qa_water_visibility_low, http://metacontrol.org/tomasys#isQAtype, http://www.metacontrol.org/suave#water_visibility]]
9;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.9.suave.owl;2;2;2;[suave.ChangeQualityAttributTypeMutation(random), suave.ChangeQualityAttributTypeMutation(random)];[qa_search_efficiency_high,isQAtype,energy,qa_motion_efficiency_degraded,water_visibility,performance];[[http://www.metacontrol.org/suave#qa_search_efficiency_high, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#energy],[http://www.metacontrol.org/suave#qa_motion_efficiency_degraded, http://metacontrol.org/tomasys#isQAtype, http://www.metacontrol.org/suave#water_visibility]];[[http://www.metacontrol.org/suave#qa_motion_efficiency_degraded, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#performance],[http://www.metacontrol.org/suave#qa_search_efficiency_high, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#performance]]
10;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.10.suave.owl;2;1;2;[class domainSpecific.suave.AddNewThrusterMutation(random), suave.RemoveQAEstimationMutation(random)];[requiredBy,fd_all_thrusters,Component,fd_spiral_high,hasQAestimation,qa_water_visibility_high];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component]];[[http://www.metacontrol.org/suave#fd_spiral_high, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_water_visibility_high]]
11;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.11.suave.owl;2;2;1;[suave.RemoveQAEstimationMutation(random), suave.ChangeQAComparisonOperatorMutation(random)];[water_visibility,qa_comparison_operator,fd_spiral_low,hasQAestimation,qa_search_efficiency_low];[[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, ">="]];[[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, "<"],[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_search_efficiency_low]]
12;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.12.suave.owl;2;2;0;[suave.RemoveQAEstimationMutation(random), suave.RemoveQAEstimationMutation(random)];[fd_spiral_medium,hasQAestimation,qa_search_efficiency_medium,fd_spiral_low,qa_search_efficiency_low];[];[[http://www.metacontrol.org/suave#fd_spiral_medium, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_search_efficiency_medium],[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_search_efficiency_low]]
13;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.13.suave.owl;2;2;1;[suave.ChangeQualityAttributTypeMutation(random), suave.RemoveQAEstimationMutation(random)];[qa_water_visibility_high,isQAtype,performance,fd_follow_pipeline,hasQAestimation,qa_inspect_efficiency_high,water_visibility];[[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#performance]];[[http://www.metacontrol.org/suave#fd_follow_pipeline, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_inspect_efficiency_high],[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#isQAtype, http://www.metacontrol.org/suave#water_visibility]]
14;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.14.suave.owl;2;2;2;[suave.ChangeQualityAttributTypeMutation(random), suave.ChangeQualityAttributTypeMutation(random)];[qa_water_visibility_high,isQAtype,energy,qa_motion_efficiency_normal,safety,performance,water_visibility];[[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#energy],[http://www.metacontrol.org/suave#qa_motion_efficiency_normal, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#safety]];[[http://www.metacontrol.org/suave#qa_motion_efficiency_normal, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#performance],[http://www.metacontrol.org/suave#qa_water_visibility_high, http://metacontrol.org/tomasys#isQAtype, http://www.metacontrol.org/suave#water_visibility]]
15;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.15.suave.owl;2;2;2;[suave.ChangeSolvesFunctionMutation(random), suave.ChangeQAComparisonOperatorMutation(random)];[water_visibility,qa_comparison_operator,fd_recover_thrusters,solvesF,f_follow_pipeline,f_maintain_motion];[[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, "<="],[http://www.metacontrol.org/suave#fd_recover_thrusters, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_follow_pipeline]];[[http://www.metacontrol.org/suave#fd_recover_thrusters, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_maintain_motion],[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, "<"]]
16;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.16.suave.owl;2;2;0;[suave.RemoveQAEstimationMutation(random), suave.RemoveQAEstimationMutation(random)];[fd_all_thrusters,hasQAestimation,qa_motion_efficiency_normal,fd_spiral_low,qa_water_visibility_low];[];[[http://www.metacontrol.org/suave#fd_all_thrusters, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_motion_efficiency_normal],[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_water_visibility_low]]
17;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.17.suave.owl;2;2;1;[suave.RemoveQAEstimationMutation(random), suave.ChangeSolvesFunctionMutation(random)];[fd_spiral_low,solvesF,f_maintain_motion,f_generate_search_path,fd_spiral_medium,hasQAestimation,qa_search_efficiency_medium];[[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_maintain_motion]];[[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_generate_search_path],[http://www.metacontrol.org/suave#fd_spiral_medium, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_search_efficiency_medium]]
18;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.18.suave.owl;2;0;4;[class domainSpecific.suave.AddNewThrusterMutation(random), class domainSpecific.suave.AddNewThrusterMutation(random)];[requiredBy,fd_all_thrusters,Component];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_8, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component],[http://www.metacontrol.org/suave#c_thruster_8, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component]];[]
19;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.19.suave.owl;2;2;2;[suave.ChangeSolvesFunctionMutation(random), suave.ChangeSolvesFunctionMutation(random)];[fd_recover_thrusters,solvesF,f_follow_pipeline,fd_spiral_low,f_maintain_motion,f_generate_search_path];[[http://www.metacontrol.org/suave#fd_recover_thrusters, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_follow_pipeline],[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_follow_pipeline]];[[http://www.metacontrol.org/suave#fd_recover_thrusters, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_maintain_motion],[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_generate_search_path]]
20;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.20.suave.owl;2;1;3;[suave.ChangeQAComparisonOperatorMutation(random), class domainSpecific.suave.AddNewThrusterMutation(random)];[requiredBy,fd_all_thrusters,Component,water_visibility,qa_comparison_operator];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component],[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, ">="]];[[http://www.metacontrol.org/suave#water_visibility, http://metacontrol.org/tomasys#qa_comparison_operator, "<"]]
21;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlySuave07.21.suave.owl;2;1;2;[class domainSpecific.suave.AddNewThrusterMutation(random), suave.RemoveQAEstimationMutation(random)];[requiredBy,fd_all_thrusters,Component,fd_spiral_low,hasQAestimation,qa_water_visibility_low];[[http://www.metacontrol.org/suave#c_thruster_7, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_7, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component]];[[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_water_visibility_low]]
